MC02_gkjd00000000_3	AF-D2Y490-F1-model_v6	0.230	65	1	60	1	60	61	60	0.984	1.000	7.797E-01	7.573E-01	7.683E-01	7.173E-01	71	AF-D2Y490-F1-model_v6 Kunitz-type serine protease inhibitor conotoxin Cal9.1c (Fragment)
MC02_gkjd00000000_3	AF-D2Y489-F1-model_v6	0.230	65	1	60	1	60	61	60	0.984	1.000	7.756E-01	7.531E-01	7.642E-01	7.145E-01	70	AF-D2Y489-F1-model_v6 Kunitz-type serine protease inhibitor conotoxin Cal9.1b (Fragment)
MC02_gkjd00000000_3	AF-P0DMW6-F1-model_v6	0.400	65	1	60	1	59	61	59	0.984	1.000	7.776E-01	7.441E-01	7.661E-01	7.099E-01	70	AF-P0DMW6-F1-model_v6 PI-actitoxin-Aeq3a
MC02_gkjd00000000_3	AF-P0DMW7-F1-model_v6	0.415	65	1	60	1	59	61	59	0.984	1.000	7.709E-01	7.377E-01	7.595E-01	7.032E-01	69	AF-P0DMW7-F1-model_v6 PI-actitoxin-Aeq3b
MC02_gkjd00000000_3	AF-C0HLB0-F1-model_v6	0.269	63	1	59	1	56	61	56	0.967	1.000	7.833E-01	7.150E-01	7.710E-01	6.987E-01	67	AF-C0HLB0-F1-model_v6 Mambaquaretin-9
MC02_gkjd00000000_3	AF-P16044-F1-model_v6	0.242	66	1	60	1	61	61	61	0.984	1.000	7.695E-01	7.477E-01	7.477E-01	6.977E-01	69	AF-P16044-F1-model_v6 Proteinase inhibitor
MC02_gkjd00000000_3	AF-C0HK73-F1-model_v6	0.327	61	4	59	1	56	61	56	0.918	1.000	7.768E-01	7.092E-01	7.647E-01	6.944E-01	67	AF-C0HK73-F1-model_v6 PI-stichotoxin-Hmg3b
MC02_gkjd00000000_3	AF-Q0PL65-F1-model_v6	0.307	65	1	60	2	60	61	61	0.984	0.967	7.492E-01	7.174E-01	7.174E-01	6.702E-01	67	AF-Q0PL65-F1-model_v6 Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B5-B chain
MC02_gkjd00000000_3	AF-D2Y488-F1-model_v6	0.230	65	1	60	19	78	61	78	0.984	0.769	8.016E-01	7.781E-01	6.232E-01	6.677E-01	73	AF-D2Y488-F1-model_v6 Kunitz-type serine protease inhibitor conotoxin Cal9.1a
MC02_gkjd00000000_3	AF-C0HLB2-F1-model_v6	0.287	66	1	60	1	60	61	68	0.984	0.882	7.494E-01	7.275E-01	6.601E-01	6.589E-01	68	AF-C0HLB2-F1-model_v6 Kunitz-type serine protease inhibitor PPTI
MC02_gkjd00000000_3	AF-P0DKL8-F1-model_v6	0.268	67	1	60	1	61	61	66	0.984	0.924	7.362E-01	7.154E-01	6.689E-01	6.539E-01	67	AF-P0DKL8-F1-model_v6 Kunitz-type serine protease inhibitor Vur-KIn
MC02_gkjd00000000_3	AF-Q589G4-F1-model_v6	0.223	67	1	61	15	75	61	75	1.000	0.813	7.654E-01	7.545E-01	6.284E-01	6.515E-01	70	AF-Q589G4-F1-model_v6 Kunitz-type serine protease inhibitor As-fr-19
