diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	P56682	sp|P56682|TILI_APIME	47.917	48	23	1	1	48	11	56	49	56	98	0.003	39.2	Chymotrypsin inhibitor OS=Apis mellifera OX=7460 PE=1 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	P83516	sp|P83516|TILI_RHIMP	38.298	47	27	1	2	48	18	62	49	65	96	0.003	39.2	Chymotrypsin-elastase inhibitor ixodidin OS=Rhipicephalus microplus OX=6941 PE=1 SV=2
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	Q8CJ69	sp|Q8CJ69|BMPER_MOUSE	51.163	43	19	2	1	43	637	677	49	685	88	0.022	37.1	BMP-binding endothelial regulator protein OS=Mus musculus OX=10090 GN=Bmper PE=1 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	O88799	sp|O88799|ZAN_MOUSE	42.308	52	25	2	2	49	4393	4443	49	5376	98	0.031	36.7	Zonadhesin OS=Mus musculus OX=10090 GN=Zan PE=1 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	O88799	sp|O88799|ZAN_MOUSE	42.857	49	26	2	2	49	3309	3356	49	5376	98	0.033	36.7	Zonadhesin OS=Mus musculus OX=10090 GN=Zan PE=1 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	O88799	sp|O88799|ZAN_MOUSE	40.385	52	26	2	2	49	4753	4803	49	5376	98	0.072	35.8	Zonadhesin OS=Mus musculus OX=10090 GN=Zan PE=1 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	O88799	sp|O88799|ZAN_MOUSE	36.538	52	28	2	2	49	2589	2639	49	5376	98	0.27	33.7	Zonadhesin OS=Mus musculus OX=10090 GN=Zan PE=1 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	O88799	sp|O88799|ZAN_MOUSE	34.615	52	29	2	2	49	2829	2879	49	5376	98	0.40	33.3	Zonadhesin OS=Mus musculus OX=10090 GN=Zan PE=1 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	O88799	sp|O88799|ZAN_MOUSE	34.615	52	29	2	2	49	4513	4563	49	5376	98	0.94	32.0	Zonadhesin OS=Mus musculus OX=10090 GN=Zan PE=1 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	O88799	sp|O88799|ZAN_MOUSE	34.615	52	29	2	2	49	2949	2999	49	5376	98	1.7	31.2	Zonadhesin OS=Mus musculus OX=10090 GN=Zan PE=1 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	O88799	sp|O88799|ZAN_MOUSE	32.075	53	31	2	1	49	3068	3119	49	5376	100	2.5	30.8	Zonadhesin OS=Mus musculus OX=10090 GN=Zan PE=1 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	Q8T0W5	sp|Q8T0W5|TIL1_PIMHY	42.857	49	26	2	1	48	37	84	49	85	98	0.066	35.4	Cysteine-rich venom protein 1 OS=Pimpla hypochondriaca OX=135724 PE=1 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	K7WRE1	sp|K7WRE1|TIL_BOMTE	43.750	48	24	2	1	48	31	75	49	75	98	0.072	35.0	Chymotrypsin inhibitor OS=Bombus terrestris OX=30195 PE=2 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	U5T7E4	sp|U5T7E4|TILVI_BOMIG	43.750	48	24	2	1	48	31	75	49	75	98	0.072	35.0	Venom serine protease inhibitor BiVSPI OS=Bombus ignitus OX=130704 PE=1 SV=1
diphucephala_sp_2|species=Diphucephala_sp|mature_len=49|n_cys=9	Q8N8U9	sp|Q8N8U9|BMPER_HUMAN	48.837	43	20	2	1	43	637	677	49	685	88	0.082	35.4	BMP-binding endothelial regulator protein OS=Homo sapiens OX=9606 GN=BMPER PE=1 SV=3
